ticker,period,strategy,alpha,beta,omega,gamma,lambda,sigma_eps,alpha_init,beta_init,omega_init,gamma_init,lambda_init,two_norm_error,aic,bic,aic_init,bic_init,loss,loss_init,calibration_time_sec,n_options,n_returns,status,error
SBUX,Period2,best1bin,1.11842284176464E-06,0.983503639918113,7.8246647140231E-06,0.263794476345923,0.488743746606728,0.299996861624864,0.0000015,0.975013873000652,1.99702699439743E-06,0.25,0.3,1.12948545160726,-22.9051914924087,17.9558891929454,,,13972417.2282502,-3939.88643777366,2912.6690890789,26166,1592,ok,
SBUX,Period3,best1bin,1.24745276336682E-06,0.988187841272357,8.30823351146438E-06,0.374916756488107,0.329328495685409,0.299996767822531,0.0000015,0.815267163694715,0.00001,0.25,0.3,1.10703886204373,-20.870691412848,18.7804428357808,-1.71101002477387,27.0497867707062,5052257.37549971,949.091311267012,2352.52158403397,20542,892,ok,
SNA,Period1,best1bin,1.3530271637231E-06,0.989957020307789,9.93484489227388E-06,0.331212452218735,0.499143229003696,0.299997625782213,0.0000015,0.842466763225479,0.00001,0.25,0.3,1.15709141977728,-14.0531574025697,3.1589311500393,-4.67237718902453,12.6244343464937,167138.602335937,4172.15761442696,103.766408920288,231,132,ok,
SNA,Period2,best1bin,1.23366373923904E-06,0.987732172881615,8.58541103777446E-06,0.378210484254166,0.344110941906467,0.299998688673232,0.0000015,0.965941484546298,0.00001,0.25,0.3,1.11223664575494,-18.2031401455233,7.85464352104568,,,1331171.67730749,-954.590223240143,225.701215267181,1355,428,ok,
SNA,Period3,best1bin,1.2611568271387E-06,0.988668781505298,9.68151464451621E-06,0.255786737645142,0.493570690025088,0.299998439005073,0.0000015,0.939676376516102,0.00001,0.25,0.3,1.13424196749436,-18.5347511141615,2.96917785915473,,,1571239.81549556,-128.095224631567,92.9380373954773,545,166,ok,
SWK,Period1,best1bin,1.48690939423828E-06,0.989995196115811,9.99726062130676E-06,0.499874149273661,0.59763534325019,0.227405059731646,0.0000015,0.873549657412357,0.00001,0.25,0.3,1.25981453279774,,,-3.58949421976329,16.0485031316192,-832.16574461389,2427.81537632077,198.810729265213,466,195,ok,
SWK,Period2,best1bin,1.40009626300049E-06,0.989441960217879,8.45526248492225E-06,0.489578172341632,0.323802711783314,0.299999284348162,0.0000015,0.98081908709946,0.00001,0.25,0.3,1.15044790221237,-17.6253754454201,13.2312089281785,,,997181.145198948,-2252.35090339322,639.881263256073,3538,742,ok,
SWK,Period3,best1bin,1.45267990521058E-06,0.989596994105988,9.80751978618245E-06,0.298883269778051,0.433718852369653,0.299995992375667,0.0000015,0.940343515298998,0.00001,0.25,0.3,1.12104659256249,-16.980787963347,10.0223149235087,2.00178482381964,24.9044517835989,722443.128992593,148.280772512291,302.060669898987,1637,336,ok,
SYK,Period1,best1bin,1.24090066472238E-06,0.9892924469037,9.47332479189747E-06,0.484310347561749,0.522694840404035,0.299993592731176,0.0000015,0.99,0.00001,0.25,0.3,1.2192071007554,-16.9775509775958,10.6236218047773,,,721274.805651846,-722.466954086388,315.147815704346,1845,290,ok,
SYK,Period2,best1bin,1.22661391851019E-06,0.975285861094232,8.97347053764003E-06,0.251070864208661,0.366865635366903,0.299996704427994,0.0000015,0.981064623173088,3.72836295391925E-06,0.25,0.3,1.07182530488881,-16.9772874996226,13.6730077003413,,,721179.791898536,-2205.31916075005,494.392274141312,3395,694,ok,
