S0,m,r,T,corp,omega,alpha,beta,theta,lambda,sigma,V
108.33444505748,1.14355570691722,0.05,0.435440039477752,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.33444505748,1.14355570691722,0.05,0.435440039477752,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,15.5520278437108
108.33444505748,0.899404050975092,0.05,0.504977878945716,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,10.8980063126439
108.33444505748,0.899404050975092,0.05,0.504977878945716,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.33444505748,0.815424672352564,0.05,0.802090414472207,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,19.9958656919875
108.33444505748,0.815424672352564,0.05,0.802090414472207,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.33444505748,0.983221979289636,0.05,0.37751464626842,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,1.81763756282017
108.33444505748,0.983221979289636,0.05,0.37751464626842,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.33444505748,1.09140287663829,0.05,0.641452791133192,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.33444505748,1.09140287663829,0.05,0.641452791133192,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,9.90207991726646
108.33444505748,1.17779864114292,0.05,0.517688356873967,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.33444505748,1.17779864114292,0.05,0.517688356873967,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,19.2617171201925
108.33444505748,0.953909247806698,0.05,0.873737061931557,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,4.99321606114326
108.33444505748,0.953909247806698,0.05,0.873737061931557,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.33444505748,1.01875566245814,0.05,0.818109119154345,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.33444505748,1.01875566245814,0.05,0.818109119154345,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,2.03188428408822
108.33444505748,0.963074811232114,0.05,0.149829436100674,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,4.00026983381157
108.33444505748,0.963074811232114,0.05,0.149829436100674,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.452198969427,0.900369449497976,0.05,0.141486238605351,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,10.805152286479
108.452198969427,0.900369449497976,0.05,0.141486238605351,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.452198969427,0.949816047538945,0.05,0.955642875768925,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,5.44255999737859
108.452198969427,0.949816047538945,0.05,0.955642875768925,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.452198969427,0.846021826555912,0.05,0.648159885351533,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,16.6992715033072
108.452198969427,0.846021826555912,0.05,0.648159885351533,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.452198969427,1.13393685946626,0.05,0.194316493932883,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.452198969427,1.13393685946626,0.05,0.194316493932883,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,14.525746932175
108.452198969427,1.19560460539024,0.05,0.594590254160253,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
